Store_Location,Monthly_Sales,Total_Transactions,Total_Revenue,Average_Revenue,Store_Rank
Littleton,2024-07,41,4987.30,121.6415,562
Thornton,2023-03,38,4984.80,131.1789,564
Aurora,2022-06,25,4984.51,199.3804,565
"Castle Rock",2023-08,56,4971.59,88.7784,566
"Castle Rock",2024-07,56,4971.59,88.7784,566
Aurora,2022-11,26,4956.00,190.6154,568
Englewood,2025-01,56,4954.22,88.4682,569
"Wheat Ridge",2022-01,30,4945.11,164.8370,570
"Fort Collins",2023-01,39,4944.17,126.7736,571
"Fort Collins",2024-12,39,4944.17,126.7736,571
Milliken,2023-09,41,4943.39,120.5705,573
Milliken,2024-08,41,4943.39,120.5705,573
"Wheat Ridge",2022-05,34,4940.34,145.3041,575
Berthoud,2022-04,28,4928.10,176.0036,576
Littleton,2024-11,41,4927.37,120.1798,577
Lafayette,2022-06,26,4925.23,189.4319,578
Loveland,2025-01,74,4910.02,66.3516,579
Englewood,2022-06,28,4888.08,174.5743,580
Greeley,2022-06,42,4884.26,116.2919,581
"Grand Junction",2025-08,58,4864.77,83.8753,582
Loveland,2023-05,47,4860.14,103.4072,583
Loveland,2024-04,47,4860.14,103.4072,583
"Castle Rock",2025-09,56,4856.59,86.7248,585
Parker,2025-03,66,4831.27,73.2011,586
"Grand Junction",2022-05,34,4824.96,141.9106,587
"Fort Collins",2023-10,43,4818.95,112.0686,588
"Fort Collins",2024-05,51,4815.90,94.4294,589
Parker,2023-07,40,4815.61,120.3903,590
Parker,2024-06,40,4815.61,120.3903,590
"Fort Collins",2024-09,42,4811.95,114.5702,592
"Castle Rock",2022-04,24,4797.55,199.8979,593
Milliken,2023-10,39,4791.04,122.8472,594
Milliken,2024-09,39,4791.04,122.8472,594
Englewood,2024-08,40,4781.75,119.5438,596
Littleton,2022-08,22,4756.10,216.1864,597
Sedalia,2023-12,43,4753.53,110.5472,598
"Wheat Ridge",2023-03,41,4731.18,115.3946,599
Englewood,2023-09,39,4730.79,121.3023,600
Aurora,2023-03,40,4722.54,118.0635,601
Littleton,2023-05,42,4713.18,112.2186,602
Littleton,2025-03,61,4708.61,77.1903,603
"Wheat Ridge",2022-06,30,4696.67,156.5557,604
Loveland,2024-10,40,4688.73,117.2183,605
Englewood,2023-10,48,4687.25,97.6510,606
Loveland,2023-11,39,4682.73,120.0700,607
Littleton,2024-04,40,4679.79,116.9948,608
Thornton,2023-04,38,4669.36,122.8779,609
"Wheat Ridge",2023-07,41,4667.94,113.8522,610
"Wheat Ridge",2024-06,41,4667.94,113.8522,610
"Fort Collins",2022-02,23,4656.78,202.4687,612
"New Castle",2024-02,34,4651.44,136.8071,613
Boulder,2023-07,41,4644.81,113.2880,614
Englewood,2024-09,47,4636.29,98.6445,615
"Wheat Ridge",2023-08,46,4627.42,100.5961,616
"Wheat Ridge",2024-07,46,4627.42,100.5961,616
Loveland,2023-02,34,4611.49,135.6321,618
Thornton,2024-05,37,4610.94,124.6200,619
Parker,2022-05,26,4610.18,177.3146,620
"Fort Collins",2023-04,45,4609.61,102.4358,621
"Fort Collins",2024-03,45,4609.61,102.4358,621
Milliken,2022-07,27,4578.12,169.5600,623
Parker,2022-03,24,4577.34,190.7225,624
Englewood,2022-12,29,4573.94,157.7221,625
Parker,2022-11,25,4554.97,182.1988,626
"Castle Rock",2022-05,28,4549.94,162.4979,627
Sedalia,2024-11,42,4544.29,108.1974,628
Milliken,2022-10,34,4527.28,133.1553,629
Sedalia,2023-01,33,4498.14,136.3073,630
Sedalia,2024-12,33,4498.14,136.3073,630
Thornton,2022-07,28,4497.91,160.6396,632
Aurora,2024-08,37,4490.81,121.3732,633
"Grand Junction",2024-01,37,4480.41,121.0922,634
"Wheat Ridge",2023-01,36,4479.06,124.4183,635
"Wheat Ridge",2024-12,36,4479.06,124.4183,635
"Wheat Ridge",2022-04,27,4478.59,165.8737,637
Boulder,2024-06,39,4476.30,114.7769,638
Milliken,2022-04,26,4465.93,171.7665,639
Aurora,2023-09,36,4464.41,124.0114,640
Littleton,2025-05,87,4434.99,50.9769,641
Boulder,2023-10,41,4432.84,108.1180,642
Thornton,2023-02,42,4424.16,105.3371,643
"Grand Junction",2023-12,41,4370.93,106.6080,644
Boulder,2025-02,47,4348.65,92.5245,645
Loveland,2022-07,36,4328.70,120.2417,646
"Grand Junction",2024-11,40,4313.23,107.8308,647
Littleton,2022-12,30,4312.62,143.7540,648
Thornton,2024-02,35,4304.22,122.9777,649
Sedalia,2022-11,16,4291.24,268.2025,650
Boulder,2024-09,39,4283.28,109.8277,651
Milliken,2024-01,50,4274.18,85.4836,652
Berthoud,2022-01,25,4272.12,170.8848,653
"Grand Junction",2023-02,31,4268.82,137.7039,654
Parker,2023-06,39,4261.38,109.2662,655
Parker,2024-05,39,4261.38,109.2662,655
Littleton,2023-03,42,4249.46,101.1776,657
"New Castle",2024-10,46,4240.41,92.1828,658
Milliken,2022-11,29,4236.77,146.0955,659
"Wheat Ridge",2023-10,36,4233.10,117.5861,660
"Wheat Ridge",2024-03,41,4220.12,102.9298,661
"Fort Collins",2025-05,76,4218.06,55.5008,662
Berthoud,2023-12,42,4208.01,100.1907,663
Sedalia,2022-03,26,4195.28,161.3569,664
"New Castle",2023-11,45,4182.71,92.9491,665
Littleton,2022-02,28,4168.41,148.8718,666
Parker,2023-12,37,4160.25,112.4392,667
"Fort Collins",2023-05,40,4159.64,103.9910,668
"Fort Collins",2024-04,40,4159.64,103.9910,668
Littleton,2024-02,39,4156.11,106.5669,670
"Wheat Ridge",2023-04,39,4138.62,106.1185,671
Berthoud,2024-11,41,4133.51,100.8173,672
"New Castle",2023-08,37,4129.29,111.6024,673
"New Castle",2024-07,37,4129.29,111.6024,673
"Castle Rock",2025-02,56,4125.93,73.6773,675
"New Castle",2024-03,52,4115.55,79.1452,676
Parker,2024-11,36,4112.64,114.2400,677
"Grand Junction",2022-12,32,4096.18,128.0056,678
"New Castle",2023-04,51,4085.39,80.1057,679
Milliken,2024-10,42,4082.96,97.2133,680
Loveland,2022-06,27,4060.20,150.3778,681
Littleton,2022-03,31,4059.65,130.9565,682
Berthoud,2022-02,30,4039.62,134.6540,683
Boulder,2022-01,35,4015.72,114.7349,684
Aurora,2022-01,35,4011.09,114.6026,685
Milliken,2023-02,46,4004.16,87.0470,686
Parker,2022-09,27,3989.42,147.7563,687
Littleton,2022-05,25,3982.28,159.2912,688
"New Castle",2022-08,29,3974.31,137.0452,689
Thornton,2022-06,34,3956.92,116.3800,690
Aurora,2022-12,29,3936.25,135.7328,691
Aurora,2022-04,26,3934.64,151.3323,692
Milliken,2023-11,40,3918.20,97.9550,693
"Wheat Ridge",2024-09,34,3901.58,114.7524,694
Thornton,2023-06,35,3895.93,111.3123,695
"Grand Junction",2022-10,25,3882.52,155.3008,696
Sedalia,2024-10,48,3880.51,80.8440,697
Thornton,2022-04,25,3871.01,154.8404,698
"New Castle",2023-10,40,3851.27,96.2818,699
Aurora,2024-02,37,3850.01,104.0543,700
Littleton,2022-09,29,3839.29,132.3893,701
Loveland,2022-04,25,3823.71,152.9484,702
"New Castle",2024-09,38,3803.67,100.0966,703
"Fort Collins",2024-01,51,3785.88,74.2329,704
Berthoud,2022-05,22,3740.88,170.0400,705
Littleton,2022-11,33,3715.53,112.5918,706
Sedalia,2025-08,51,3710.25,72.7500,707
"New Castle",2022-05,31,3705.45,119.5306,708
"Grand Junction",2023-05,40,3701.64,92.5410,709
Boulder,2024-05,36,3687.82,102.4394,710
Littleton,2022-01,26,3684.55,141.7135,711
Sedalia,2023-11,47,3671.27,78.1121,712
Lafayette,2022-07,27,3667.75,135.8426,713
Berthoud,2022-12,24,3663.74,152.6558,714
"Grand Junction",2022-06,29,3659.87,126.2024,715
Parker,2023-10,37,3649.67,98.6397,716
Littleton,2024-01,40,3646.14,91.1535,717
Milliken,2022-06,22,3638.06,165.3664,718
Berthoud,2022-03,27,3622.94,134.1830,719
"Fort Collins",2023-02,47,3618.50,76.9894,720
Loveland,2023-01,32,3612.63,112.8947,721
Loveland,2024-12,32,3612.63,112.8947,721
Sedalia,2022-02,28,3602.39,128.6568,723
"Grand Junction",2022-11,30,3602.33,120.0777,724
Berthoud,2022-08,31,3600.27,116.1377,725
Berthoud,2022-09,29,3592.14,123.8669,726
Berthoud,2024-10,37,3573.83,96.5900,727
Thornton,2023-12,36,3545.28,98.4800,728
Loveland,2022-05,27,3538.40,131.0519,729
Thornton,2024-11,35,3535.18,101.0051,730
Parker,2024-09,36,3523.49,97.8747,731
"Grand Junction",2024-04,37,3522.40,95.2000,732
Boulder,2023-06,34,3519.31,103.5091,733
Boulder,2022-05,27,3509.06,129.9652,734
Berthoud,2023-11,36,3499.33,97.2036,735
"New Castle",2024-05,48,3490.10,72.7104,736
Sedalia,2024-05,37,3488.73,94.2900,737
Sedalia,2022-06,28,3487.32,124.5471,738
Aurora,2022-02,33,3483.86,105.5715,739
Sedalia,2023-06,36,3468.37,96.3436,740
Lafayette,2022-01,25,3464.39,138.5756,741
Englewood,2024-05,40,3463.69,86.5923,742
Aurora,2022-08,31,3448.30,111.2355,743
"New Castle",2023-06,46,3447.80,74.9522,744
Loveland,2022-08,27,3435.98,127.2585,745
Berthoud,2023-05,32,3433.87,107.3084,746
"Fort Collins",2022-01,29,3416.09,117.7962,747
Lafayette,2022-11,27,3409.08,126.2622,748
Loveland,2023-06,40,3401.94,85.0485,749
Loveland,2024-05,40,3401.94,85.0485,749
"New Castle",2022-04,27,3389.60,125.5407,751
Thornton,2022-10,26,3377.39,129.8996,752
"Castle Rock",2023-12,40,3373.40,84.3350,753
Berthoud,2024-04,30,3370.33,112.3443,754
Milliken,2022-08,28,3361.73,120.0618,755
Parker,2023-05,35,3361.42,96.0406,756
Parker,2024-04,35,3361.42,96.0406,756
"Fort Collins",2023-12,45,3329.90,73.9978,758
"Fort Collins",2024-11,45,3329.90,73.9978,758
Littleton,2023-02,34,3323.51,97.7503,760
"New Castle",2022-09,28,3299.69,117.8461,761
Thornton,2022-03,22,3296.44,149.8382,762
Littleton,2022-06,22,3288.36,149.4709,763
Thornton,2022-12,28,3287.20,117.4000,764
"Castle Rock",2022-10,24,3286.22,136.9258,765
Englewood,2023-03,28,3278.07,117.0739,766
"New Castle",2022-06,21,3262.46,155.3552,767
Boulder,2022-07,30,3257.08,108.5693,768
Parker,2022-01,23,3255.67,141.5509,769
Berthoud,2022-06,21,3248.38,154.6848,770
Englewood,2023-06,39,3244.39,83.1895,771
Boulder,2022-10,29,3197.30,110.2517,772
"Castle Rock",2024-11,38,3181.05,83.7118,773
"Fort Collins",2022-10,26,3168.55,121.8673,774
Thornton,2022-05,34,3167.21,93.1532,775
Littleton,2022-04,27,3160.01,117.0374,776
"New Castle",2022-01,28,3156.59,112.7354,777
"Grand Junction",2023-09,35,3141.60,89.7600,778
"Grand Junction",2024-08,35,3141.60,89.7600,778
"Grand Junction",2022-02,19,3119.67,164.1932,780
Aurora,2022-09,32,3102.97,96.9678,781
Parker,2023-03,39,3084.33,79.0854,782
Englewood,2024-02,25,3075.55,123.0220,783
"Fort Collins",2022-07,31,3054.70,98.5387,784
"Wheat Ridge",2022-02,25,3043.46,121.7384,785
Milliken,2022-05,23,3029.61,131.7222,786
Boulder,2022-09,31,3015.57,97.2765,787
Milliken,2023-01,41,3013.31,73.4954,788
Milliken,2024-12,41,3013.31,73.4954,788
Parker,2024-02,37,3005.49,81.2295,790
"Wheat Ridge",2022-10,35,2998.49,85.6711,791
Thornton,2022-01,27,2970.66,110.0244,792
Berthoud,2022-07,22,2963.11,134.6868,793
Lafayette,2022-04,25,2960.10,118.4040,794
"Wheat Ridge",2024-02,36,2927.30,81.3139,795
"Wheat Ridge",2022-08,23,2907.33,126.4057,796
"Fort Collins",2023-06,48,2895.56,60.3242,797
"Castle Rock",2022-12,31,2872.95,92.6758,798
Sedalia,2022-09,23,2861.29,124.4039,799
"Fort Collins",2024-08,42,2840.50,67.6310,800
"Fort Collins",2023-09,41,2833.50,69.1098,801
Littleton,2024-10,43,2822.45,65.6384,802
Loveland,2022-02,30,2787.91,92.9303,803
Berthoud,2022-10,21,2775.06,132.1457,804
Littleton,2022-10,26,2772.50,106.6346,805
"Castle Rock",2022-01,22,2770.37,125.9259,806
Littleton,2023-11,40,2741.31,68.5328,807
Parker,2022-04,33,2692.04,81.5770,808
"Fort Collins",2022-03,28,2679.21,95.6861,809
Thornton,2022-08,27,2672.12,98.9674,810
"Wheat Ridge",2022-11,24,2646.25,110.2604,811
Parker,2022-08,28,2619.25,93.5446,812
Lafayette,2023-03,43,2613.06,60.7688,813
Milliken,2022-12,24,2611.71,108.8213,814
Lafayette,2022-12,32,2589.42,80.9194,815
Lafayette,2024-02,41,2583.60,63.0146,816
Berthoud,2022-11,19,2576.12,135.5853,817
Boulder,2022-02,28,2530.45,90.3732,818
Loveland,2022-11,28,2517.33,89.9046,819
"Wheat Ridge",2022-03,30,2509.43,83.6477,820
Boulder,2022-12,23,2509.38,109.1035,821
"Castle Rock",2024-01,31,2502.89,80.7384,822
"Castle Rock",2022-03,24,2482.86,103.4525,823
Lafayette,2022-10,38,2456.09,64.6339,824
Parker,2022-12,24,2440.23,101.6763,825
"Castle Rock",2023-02,27,2409.95,89.2574,826
Thornton,2022-02,31,2407.46,77.6600,827
Littleton,2023-07,42,2388.94,56.8795,828
"Fort Collins",2022-11,28,2363.81,84.4218,829
Sedalia,2022-12,30,2355.62,78.5207,830
"Fort Collins",2022-09,30,2319.47,77.3157,831
"Castle Rock",2022-09,24,2308.58,96.1908,832
Aurora,2022-05,29,2308.23,79.5941,833
Littleton,2024-06,39,2306.34,59.1369,834
Sedalia,2022-01,28,2304.22,82.2936,835
"Wheat Ridge",2022-09,24,2302.33,95.9304,836
Lafayette,2023-08,37,2284.95,61.7554,837
Lafayette,2024-07,37,2284.95,61.7554,837
"Castle Rock",2022-11,20,2224.64,111.2320,839
Lafayette,2022-03,22,2220.23,100.9195,840
"Wheat Ridge",2022-07,28,2217.29,79.1889,841
"Grand Junction",2022-03,28,2183.37,77.9775,842
Sedalia,2022-05,22,2170.47,98.6577,843
"Grand Junction",2022-01,26,2169.30,83.4346,844
"Wheat Ridge",2023-12,44,2153.20,48.9364,845
"Wheat Ridge",2024-11,43,2150.32,50.0074,846
Sedalia,2022-10,32,2133.83,66.6822,847
Boulder,2022-11,28,2119.20,75.6857,848
Loveland,2022-12,21,2012.61,95.8386,849
Sedalia,2022-04,23,1923.82,83.6443,850
Milliken,2022-01,28,1883.86,67.2807,851
"Castle Rock",2022-02,25,1883.08,75.3232,852
Thornton,2022-11,19,1831.94,96.4179,853
"New Castle",2022-12,24,1807.47,75.3113,854
Englewood,2022-11,25,1770.95,70.8380,855
"New Castle",2022-07,23,1740.98,75.6948,856
Boulder,2022-06,26,1693.98,65.1531,857
Loveland,2022-10,28,1679.98,59.9993,858
Boulder,2022-08,31,1667.60,53.7935,859
Loveland,2022-03,28,1592.40,56.8714,860
"Grand Junction",2022-09,29,1555.64,53.6428,861
"Grand Junction",2022-08,26,1493.62,57.4469,862
Aurora,2022-07,20,1386.48,69.3240,863
Milliken,2022-02,20,1222.07,61.1035,864
